,Profil ,Czas ,Kurs ,Zmiana ,Zmiana % ,Odn. ,Otw. ,Min. ,Max. ,Wolumen ,Obrót ,Udział ,1r 3m
0,ACP (ASSECOPOL) ,11:25 ,78.6,-0.2,(-0.25%) ,78.8,79.0,78.3,79.0,9 460 ,744 188 ,2.07% ,
1,ALE (ALLEGRO) ,11:23 ,27.625,-0.075,(-0.27%) ,27.7,27.615,27.15,27.75,1 699 152 ,46 589 199 ,5.442% ,
2,CCC ,11:25 ,33.84,-0.65,(-1.88%) ,34.49,34.5,33.67,34.5,113 772 ,3 858 232 ,0.605% ,
3,CDR (CDPROJEKT) ,11:25 ,131.3,0.08,(+0.06%) ,131.22,131.2,129.16,132.36,76 815 ,10 053 206 ,4.273% ,
4,CPS (CYFRPLSAT) ,11:25 ,17.33,-0.24,(-1.37%) ,17.57,17.63,17.24,17.63,81 914 ,1 424 925 ,2.002% ,
5,DNP (DINOPL) ,11:25 ,363.4,-8.1,(-2.18%) ,371.5,372.5,360.7,372.5,61 399 ,22 352 929 ,8.318% ,
6,JSW ,11:25 ,53.64,-1.7,(-3.07%) ,55.34,55.44,53.34,55.46,151 155 ,8 159 437 ,1.36% ,
7,KGH (KGHM) ,11:25 ,130.7,-4.9,(-3.61%) ,135.6,134.4,129.65,134.4,212 992 ,27 972 356 ,8.528% ,
8,KRU (KRUK) ,11:20 ,332.6,-1.0,(-0.30%) ,333.6,336.8,329.4,336.8,3 961 ,1 314 889 ,2.775% ,
9,KTY (KETY) ,11:23 ,496.5,-4.5,(-0.90%) ,501.0,502.0,490.5,503.0,4 577 ,2 266 362 ,2.285% ,
10,LPP ,11:23 ,9565.0,-315.0,(-3.19%) ,9880.0,9600.0,9450.0,9895.0,937 ,8 977 430 ,4.828% ,
11,MBK (MBANK) ,11:22 ,312.4,-2.2,(-0.70%) ,314.6,318.2,310.4,318.2,5 767 ,1 802 075 ,1.928% ,
12,OPL (ORANGEPL) ,11:23 ,6.868,0.01,(+0.15%) ,6.858,6.896,6.786,6.898,429 508 ,2 941 784 ,2.088% ,
13,PCO (PEPCO) ,11:22 ,42.8,0.04,(+0.09%) ,42.76,42.62,42.38,43.04,100 905 ,4 309 319 ,3.198% ,
14,PEO (PEKAO) ,11:25 ,86.54,-1.8,(-2.04%) ,88.34,88.34,86.36,88.34,333 842 ,28 986 943 ,7.327% ,
15,PGE ,11:22 ,6.666,-0.106,(-1.57%) ,6.772,6.802,6.65,6.802,1 278 345 ,8 569 150 ,2.737% ,
16,PKN (PKNORLEN) ,11:25 ,61.76,-1.04,(-1.66%) ,62.8,62.86,61.52,62.9,587 501 ,36 436 421 ,13.947% ,
17,PKO (PKOBP) ,11:25 ,30.22,-0.51,(-1.66%) ,30.73,30.7,30.05,30.7,732 294 ,22 164 937 ,12.326% ,
18,PZU ,11:25 ,35.12,-0.47,(-1.32%) ,35.59,35.5,35.05,35.62,343 688 ,12 129 503 ,9.511% ,
19,SPL (SANPL) ,11:21 ,280.6,-4.4,(-1.54%) ,285.0,287.0,280.4,287.0,6 412 ,1 808 844 ,4.453% ,
